Profile,Indexed,Follower,Following,Boards,Pins, Views 
https://www.pinterest.com/Zoe880ivy/,TRUE,0,0,4,270, (1)
https://www.pinterest.com/Alexa254ivy/,TRUE,0,0,4,249, (1)
https://www.pinterest.com/Angela674ivy/,TRUE,0,0,4,274, 1 
https://www.pinterest.com/CharmingInvites7/,TRUE,0,0,5,1940, 366 
https://id.pinterest.com/ElegantAnnouncements/,TRUE,0,0,5,1731, 222 
https://id.pinterest.com/InvitesGalores/,TRUE,0,0,5,1847," 1,626 "
https://id.pinterest.com/JoyfulCelebrations9/,TRUE,0,0,5,1919, 213 
https://id.pinterest.com/TimelessInvites/,TRUE,0,0,5,1928, 250 
https://id.pinterest.com/ElegantExpressions4/,TRUE,0,0,5,1748, 223 
https://www.pinterest.com/DelightfulInvites/,TRUE,0,0,5,1825, 352 
https://id.pinterest.com/CreativeAnnouncements/,TRUE,2,0,5,1899," 24,728 "
https://id.pinterest.com/WhimsicalInvites/,TRUE,0,0,5,1917, 184 
https://www.pinterest.com/HeartfeltInvites/,TRUE,0,0,5,1948, 252 
https://id.pinterest.com/CelebrationStation99/,TRUE,0,0,5,1877, 150 
https://www.pinterest.com/PersonalTouchInvites8/,TRUE,1,0,5,1663, 149 
https://www.pinterest.com/StylishInvites77/,TRUE,0,0,5,1936, 258 
https://id.pinterest.com/MagicalMomentsInvites/,TRUE,0,0,5,1930, 103 
https://www.pinterest.com/SparklingInvitations/,TRUE,0,0,5,1831, 98 
https://www.pinterest.com/RadiantInvites7/,TRUE,0,0,5,1818, 336 
https://id.pinterest.com/CelebratewithStyle7/,TRUE,0,0,5,1934, 69 
https://id.pinterest.com/DreamyInvitations7/,TRUE,0,0,5,1856, 107 
https://id.pinterest.com/SimplyInviting6/,TRUE,0,0,5,1828, 331 
https://www.pinterest.com/FestiveInvitations/,TRUE,0,0,5,1819, 517 
https://www.pinterest.com/ChicAnnouncements/,TRUE,0,0,5,1719, 221 
